id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
7eXyyfbX37gsd3lT8UdfVC,"['MF DOOM', 'Jneiro Jarel', 'Black Noi$e', 'Shape Of Broad Minds', 'Jawwaad']",Let's Go (Space Boogie) - Black Noi$e Remix Instrumental,11,False,0.792,0.643,0.0454,0.00405,0.828,0.0661,0.0793
3dS8LqZO7CAV6bc3Pq8PvU,"['Black Noi$e', 'BbyMutha']",Mutha Magick (feat. bbymutha),15,True,0.861,0.775,0.162,0.00336,0.000522,0.075,0.766
5MPTspzuZEDXyQVPf9sZ6K,"['Adé Hakim', 'beats2listen2']",The Mind is Like A Galaxy,2,True,0.558,0.706,0.33,0.769,0,0.16,0.618
1UNiAGQY8pM0uPMBGJBipt,"['Adé Hakim', 'beats2listen2']",Drink the Herb,2,True,0.54,0.869,0.106,0.568,6.14e-06,0.316,0.727
6WLxdvnHWe5Z71Wbgw8pie,"['Adé Hakim', 'beats2listen2']",Invisible Man,2,True,0.315,0.722,0.0783,0.892,0,0.155,0.277
6txqYDpyKoLnMR8nh8clJp,"['Adé Hakim', 'beats2listen2']",Breaking Through Cycles,1,True,0.648,0.621,0.274,0.846,1.16e-05,0.285,0.724
0fsKc9LemUXBDPJx7UhhDN,"['Adé Hakim', 'beats2listen2']",Rare Sight,1,True,0.491,0.767,0.357,0.839,0,0.193,0.761
01tUoDN0NjcqYCUZoeVzYH,"['Adé Hakim', 'beats2listen2']",Time Flies,0,True,0.456,0.679,0.391,0.544,0,0.773,0.379
7stXVAodAAnCRkhxMgjoFN,"['Adé Hakim', 'beats2listen2']",Solar VS The Man Made System,1,True,0.476,0.8,0.336,0.87,0,0.287,0.741
0bV3INdt7nunUxic4O6LkC,"['Adé Hakim', 'beats2listen2']",No Complaints,1,True,0.53,0.837,0.255,0.826,8.91e-06,0.092,0.85
1d4MjnLoboXME6RaWm0rUw,"['Adé Hakim', 'beats2listen2']",Intergalatic Interlude,0,True,0.317,0.881,0.648,0.0734,5.16e-05,0.656,0.342
4nekF51eMorz41PKLkm8EY,"['Adé Hakim', 'beats2listen2']",Scrutiny,1,True,0.327,0.701,0.29,0.868,0,0.149,0.681
0bvaomrPZFSxmumQqYmzVW,['Adé Hakim'],success in life,4,False,0.478,0.336,0.0358,0.39,0.962,0.147,0.484
3q9P9jec2ufWdaDfiC4Lkz,['Adé Hakim'],find where your strength resides,3,False,0.549,0.505,0.0549,0.125,0.71,0.263,0.333
0NxW1SdnwzAAaBnrH7OXJq,['Adé Hakim'],i love my self - 2017 demo,2,False,0.606,0.788,0.127,0.141,0.929,0.178,0.879
4cIEnk9lMBmVpvq7nHjerD,['Adé Hakim'],peace within (stop hiding),2,False,0.29,0.267,0.0807,0.211,0.891,0.133,0.354
5v0VfdRwsBUc4tarDZaeHW,['Adé Hakim'],won by default,2,False,0.645,0.674,0.0598,0.159,0.918,0.153,0.298
20Lw1KaZnlw3Jm8ja0FVWx,['Adé Hakim'],i love my mom,3,False,0.646,0.44,0.233,0.564,0.901,0.11,0.344
1TXHen5Zy7yetTdYGQIoLp,['Adé Hakim'],teal river,4,False,0.638,0.72,0.0373,0.0146,0.863,0.106,0.664
4AnGkMu6ehgOTYLmzFmouK,['Adé Hakim'],ghost - remix,2,False,0.621,0.751,0.157,0.322,0.118,0.173,0.849
3zPV4Y3qJVtann8aJzXi1D,['Adé Hakim'],untitled 38,2,False,0.531,0.885,0.0395,0.765,0.939,0.174,0.835
4rpZkDsuyfqRb6V1Rn3QRb,['Adé Hakim'],oh baby - 2016 demo,2,False,0.333,0.573,0.0619,0.638,0.97,0.254,0.163
6c79mDrCZFrF8jucuK7dVc,['Adé Hakim'],sending love from gun hill,1,False,0.41,0.548,0.265,0.843,0.604,0.189,0.783
