id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
1F7CVxtGTmALZc8ag0QLug,['Chris Travis'],Stayin True,41,True,0.54,0.208,0.305,0.0893,0.00455,0.17,0.0779

0pLnk5WxmiRCFPVkgilkX2,"['Mach-Hommy', 'Westside Gunn', 'Keisha Plum']",Folie Á Deux (feat. Westside Gunn & Keisha Plum),50,True,0.541,0.727,0.208,0.654,0.00288,0.21,0.457

15gPvZFGYcznrSDxyv7zjC,['Mach-Hommy'],Maslow's Hammer,22,True,0.663,0.727,0.286,0.871,0,0.159,0.353

1xP57iPdjKXovg1Ir3Z32X,"['Psymun', 'Chester Watson']",Fumes,8,True,0.557,0.75,0.34,0.215,0,0.749,0.659

4NczzeHBQPPDO0B9AAmB8d,['Sam Gellaitry'],Assumptions,62,False,0.639,0.815,0.221,0.123,0.00113,0.193,0.443

5IT1CDNuikl4Jpf549LBda,"['Curren$y', 'The Alchemist']",Half Moon Mornings,44,True,0.388,0.6,0.901,0.83,0.00112,0.228,0.545

7voRcwJoLV5OstiZfZYQL6,['Chester Watson'],day trip (clocks),13,True,0.805,0.48,0.215,0.0334,0.000323,0.109,0.511

1Fs3qFAEEYoMnYqnUxZVIy,"['Magic Flowers', 'P. PAT']",Твоё Тело,31,True,0.838,0.597,0.212,0.0755,0.369,0.0708,0.18

7dx051ylMUp14nZLkpa3n7,['sheldon charlot'],so damn good,37,False,0.482,0.439,0.135,0.093,0,0.169,0.374

1MIj0inxy1ahcfFFPlUhGe,"['OG Spliff', 'Argov']",baby boy,19,True,0.407,0.543,0.339,0.201,3.42e-05,0.885,0.648

5x9ym2BnstMSyP7TQ2C9i2,"['Popstar Benny', 'Niontay', 'MIKE']",ATL Freestyle,31,True,0.692,0.571,0.218,0.0135,8.23e-06,0.259,0.659

1fZlxYXWrsus7bSPjX5Wng,"['namesbliss', 'scruz']",Iniesta Flow,48,False,0.563,0.613,0.393,0.813,0,0.106,0.42

67IyGQKVzg7JFqbhthtfvI,['Jadasea'],INNERVISIONS,28,True,0.556,0.426,0.0417,0.0136,0.000252,0.246,0.82

6BCRlRKqMEOydKLv1VZBdO,['lil hero'],gun show,44,False,0.539,0.808,0.0457,0.000826,0,0.22,0.482

3mYP9Tec1OzcwNKuCEqJzE,"['EAZYBAKED', 'MontyCler']",Certified,41,False,0.92,0.532,0.317,0.00517,0.0013,0.447,0.437

2KKrlVEhlXqfrLR1okapHp,['MIKE'],Burning Desire,50,True,0.684,0.815,0.162,0.0769,0,0.115,0.427

1c8PjFzb4RWfAXgupKgbba,['mynameisntjmack'],Leak,46,True,0.326,0.451,0.229,0.559,0,0.107,0.602

3QTmczUQHZDg0c1KUVU0VA,['Chester Watson'],money & love,19,True,0.433,0.654,0.439,0.254,0.0284,0.182,0.503

0YVAbRnpG4mVxxwob9DdS8,['Jourden'],Flow,52,True,0.631,0.614,0.29,0.395,8.16e-06,0.115,0.55

3tgHGoK5ItQv2q2yqggxlb,['Magdalena Bay'],Secrets (Your Fire),52,False,0.691,0.827,0.0402,0.00177,0.637,0.416,0.826

7Fege3yv4dvehB3NdRBGwI,['Gunna'],Banking On Me,74,True,0.793,0.308,0.0466,0.613,1.68e-05,0.0953,0.46

0MXemkrh7WpAfiafcGQwZO,['Destroy Lonely'],NOSTYLIST,72,True,0.567,0.773,0.0775,0.0396,0,0.111,0.496

5OGqcCVbPUB8mdW2UvTj58,['Niontay'],Ridewimmie (l95er),31,True,0.466,0.48,0.0766,0.125,0.0246,0.103,0.0951

7tJzIEqZV5tzuvol0Voq7Z,['Knxwledge'],dont be afraid,57,False,0.5,0.863,0.528,0.0401,0.00193,0.381,0.579

7cMFjxhbXBpOlais7KMF3j,['Daft Punk'],Voyager,64,False,0.669,0.743,0.0494,0.288,0.805,0.309,0.28

6Z9iKYBsHtA8Dgs0Vj1mXz,['YUNGMORPHEUS'],Thangs Change,17,True,0.575,0.575,0.0711,0.399,0.00479,0.301,0.522

1l1fxqGQNQ33u1B2VTNXz8,"['Jiles', 'Big Super']",Stones,1,True,0.603,0.701,0.347,0.0604,0.00102,0.099,0.405

5wiSQvPrvr9KdlHJ9DmtL6,['Never Dull'],Try 2 Luv,47,False,0.804,0.832,0.05,0.00386,0.86,0.0532,0.892

5Vp7xBUxV22dCkvUaCOjES,['Cochise'],PLASMA,45,True,0.695,0.489,0.146,0.0306,0,0.417,0.622

27BuErcU8fgsy1uNSA0y2z,"['ARDN', 'femdot.']",ARE U KIDDING,43,True,0.566,0.762,0.289,0.0603,0,0.143,0.668

6Xa3ZCamaDFWBmxOFoR2n8,"['1999 WRITE THE FUTURE', 'BADBADNOTGOOD', 'Westside Gunn', 'Conway the Machine']",MiNt cHoCoLaTe (feat. Conway the Machine),58,True,0.493,0.508,0.273,0.61,0,0.368,0.705

